year,tagline
1937,  DRAMA FOR HIS NEWSREEL CAMERA! (original ad - all caps) Shrieking maniacs who were raiding natives...deadly bullets and pitched battle...white sand that ran red ---
1967,  A coffin without a corpse... Crammed with millions in cash! The Deadliest Convoy That Ever Gunned Its Way Across The West!
1965,  You have never seen a better Greek movie before!!
2012,  Rules were made to be broken
1938,  WHEN A WOMAN LOVES TOO WELL --- AND A MAN FORGETS TOO SOON ---
1953,  En kriminalfilm.
2007,  Engagement Ring. Wedding Ring. Suffering.
2012,  Two Words Can Change Everything
2009,  One man+ Two woman=
1992,  Bernie and Theresa have only one thing in common... they were made for each other.
2009,  What goes around comes around
1975,"  Not Since Rosemary's Baby ... Conceived by the Devil, only she knows what her baby really is! Pray for the Devil Within Her...before it preys on you!"
2000,  Sometimes the adventure of a lifetime becomes life itself.
1973,  No man ever escaped this prison... UNTIL NOW! He's the devil they named the island for! No man ever broke this prison! No prison ever broke this man!
1972,  An Unflinching Look at the Seedy Mafia Underworld
2005,  (V) Good buds and good times
2005,  A Pothead learns all he really needs is a good hamburger.
2011,  Four competitive Street Fighter players take their game to the next level.
2004,  Just let it go
2008,  (V) Would you buy ANYTHING from this man? Probably NOT!
1998,  A truckload of cell phones... turns into a boatload of cash!
2012,  A film about friendship & betrayal - Love & loneliness.
2009,  Jealousy Takes Center Stage
2011,  6 lady directors. 10 interlocking horror shorts. 1 messed up city.
2010,  Musicals suck - this is what they taste like.
2011,  That friend we all hate
2010,  (Behind The Magic)
2005,  Your worst enemy can become your best friend.
2012,  Welcome to rock bottom. Enjoy your stay.
2005,"  A falling out of love, love story"
2012,  He was trying to get to work. He was trying to do his job.
2004,  An existential comedy
2009,  A story about a day in the life of bored office employees with overactive imaginations
2010,  13 stories from the centre of the universe
2012,  It was only when he did not get up to take a bow that anyone realised something had gone wrong.
2011,  Marriage: All fun and games till someone loses a body part!
2012,  Marriage: All fun and games till someone loses a body part!
2004,  Look up.
1990,  Lej aldrig yrkesmoerdare i rivningskaakar!
2010,  A Real Life Look At Ghost Hunting
2004,  A young woman is re-visited by her late mother to remind her of the true meaning of beauty
2008,  Matt Rahn has never met anyone who knows as much about tennis as he does.
2007,  Can't get a bite in edgewise
2012,  The gritty realistic nature of Watchmen meets Unbreakable's conquest for morality.
1950,  DREADED INDIAN WARRIORS! (original print ad - all caps) DREADED INDIAN WARRIOR'S LAST DESPERATE STAND! (original ad - all caps) As a warrior-unbeatable! As a leader-unmatched! As an Indian-unforgettable!
2013,  Christmas Will Never Be The Same
1997,"  He's got a hook on them... Welcome to South Port, the perfect small town. But beneath the surface, there are secrets that just won't stay buried. If you're going to bury the truth, make sure it stays buried. Someone knows their secret, someone knows they're scared, and someone knows what they did last summer. Someone's got a hook to wield... This secret is about to kill them all!"
2005,  A flashing blade cutting down the run.
2007,  If you think you know the secret...Think twice. Look For The Clues... There are two sides to every crime.
2005,  Do you believe in fate?
2012,"  Finally, men are not to blame"
2003,  The day which doesn't exist on the calendar
1960,  The super-comedy of the year!!!
2004,  (V) blacks & blondes edition
2003,"  (V) Big, black dicks! In cute, white chicks"
1994,"  For Lisette, everyday has become independence day."
1995,"  Win, lose ... or die He works hard, she plays harder."
1935,  The dancing lady has a new sweetheart ...!
1945,"  IT'S HOT (original ad - all caps) JOYOUS, JIVE JAMBOREE (original ad - all caps)"
2001,"  AnikÃ›, damn you. Hop on the first bus and come, you know what it's like when you've made it big time, you've ace. Do you know what I love Budapest means? Your best ever friend, MÃ›ni"
2011,  What are we really looking for?
2008,  (V) Folksinger Dries Roelvink is abducted by two of his biggest fans because they want a baby from him.
2007,  I Love London. We all Love London. But for some London can be a cruel mistress
1953,  Lights...Camera...Laughter!
1953,  M-G-M's BIG MUSICAL with those Singin' in the Rain stars! Songs! Dances! Joy! as a boy promises to get his girl's picture on a LOOK magazine cover! MGM's TECHNICOLOR Musical Joy!
2006,"  For some he is considered a God, for others... he is the Devil himself. All the balseros have a story... Some tell it, some invent it, and some prefer to forget. Forgiveness leads to understanding and by understanding we realize how little we need to forgive"
2006,  A Man. His Suit. Their Story.
2009,  Love. Betrayal. Guilt.
2012,  A film about finding Happiness A film about finding happiness
2008,  I once went on a blind date...
2003,  (V) Honk If You Like Huge Hooters!
1948,  Scandalous secrets only murder can silence! Five lovelies leave a trail of perfume... and murder!
1994,  Romance Was Never More Dangerous!
1990,  every night on TV someone says I love you
2002,"  Loving you, is easy cause you're beautiful."
2004,  Do you ever really know your lover?
2010,  Sometimes the hardest thing to say is I Love You .
1940,"  It's one, long, loud l-a-u-g-h!"
2009,  One Good Betrayal Deserves Another
1990,"  An unbelievable story that's incredibly true. With These People Trying To Kill Him, Joey Boca May Just Live Forever"
2012,  He would do anything to get her. She would kill to get him.
2013,"  Love, Loneliness, And An Evil Talking Ham"
2009,  Five Little Words Can Change Your Life Still Love Me? Popularity is nice. Popular girls are not.
2007,  1 husband. 1 wife. 2 thugs. And 3 simple lies.
2007,  What would you do for love?
1958,"  The bride wore terror! Shuddery things from beyond the stars, here to breed with human women!"
1997,  The honeymoon is definitely over! Ultra sexy! Ultra violent! Ultra funny!
1958,  What happens to the MOUSE when the CHEESECAKE bites back? (original poster)
1940,  FROM A FABULOUS BOOK...THE STORY OF A FABULOUS LIFE!
2011,  How to deal progressively with survival problems
1998,  They came to the beach by different paths... Their future is to be determined by Destiny...
2006,  Let loose the word
1964,  A Death-Island Of Strange Rites And Inhuman Tortures! No One Returns From Raimangal... Alive!
1963,  14 Happenings! Wild! Weird! Wonderful!
2007,  A cry for help; an admission of guilt.
2010,  Any Objections?
2007,"  They're as straight as can be, but don't tell anyone. How far would you go for a friend? Chuck has just found the perfect girl. Too bad he's agreed to marry his best friend."
1962,  A searing study of love and life in Italy!!! A film that slices into life and bares it in the raw!
1983,  It's the end of the earth as we know it! Hell On Earth 2019 A.D. Can mankind survive without humanity? Dealers in death... exterminators of the 21st century...
1986,"  This night, love is different."
1982,  Libby Tucker hitchhiked from Brooklyn to take Hollywood by storm. And her father by surprise.
2008,  A love story in black and white.
2010,  Giorgio Morandi Maria Cristina Bandera Fondazione Ferrero
1983,"  A legend of savagery, sorcery and passion forged in a flash of steel. [Australia Theatrical] The Middle Ages . . . A time of magic and mystery . . . of heroes and villains . . . of love and death . . . of hearts and armour [USA Theatrical]"
1984,  The Adventure Of A Lost Generation
1941,  One of the greatest love stories ever told!
1968,  The smile that kills...
1976,  Insipired by a true story
2013,  A tale of unusual magic
2007,"  You might assume that they're just three waitresses,one cook and a dishwasher but they see themselves as an artist ,an actor,a lover,an author and a revolutionary. Five woman One restaurant One Night"
2004,"  Everyone at Zenith Alternative knows Casey has a crush on the popular Harper, but no one is prepared for Harper's startling confession, especially not Casey. A short romantic tragedy about playing it cool in middle school."
2012,  a movie about LOVE and other deadly things in life.
1948,  You'll just love...MAMA!
2012,"  A man wakes and waxes nostalgic, but he is not alone."
2005,  The Story of Red Rountree: The World's Oldest Bank Robber. A (true) tale of geriatric ambition.
1996,  Konsten att spela sig sjaelv...
2010,  There are no feelings in outer space.
2011,  What would you do to get home?
1968,  It's ship-shapely all-girl crew took turns shaping up for the captain's watch
2008,  What if Global Warming was solved...but nobody cared?
2010,  Giraffes India documentary Israel backpacker Gilad Kahana
2010,  The Classic Christmas Song I Saw Mommy comes to life in this modern day holiday fable.
2007,  Did you see the world today?
1965,"  Don't laugh little girl, better run for your life. The man you were talking to, has just murdered his wife! William Castle warns you: This is a motion picture about UXORICIDE! Fate dials the number...terror answers the phone! You May Be the Target... of the Next Phone Call..."
2008,  Is the doctor in or out of her mind?
2009,"  It takes a village to raise a child and one man's example can influence the destiny of an impressionable child for better or worse. I See You is a short educational film about bullying, peer pressure, community responsibility and building bridges to peace keeping."
2012,  Never has planning a lunch meet-up been more fraught with lies.
1953,  THE FANTASTIC BUT TRUE STORY OF THE FROGMEN (original ad for USA release Hell Raiders of the Deep - all caps)
1962,  Seven Heroes! The Valiant Sons of Sparta Seven Spartan Warriors! Seven heroes! They fight as if they were seven hundred!
1951,  An All New Adventure of the Seven Dwarfs and Snow White Seven times more wonderful...more enchanting...more spell-binding than any make-believe you've ever known! Here are those 7 dwarfs with Snow White and Prince Charming in a brand new world of dream-come-true ! A Million Miracles Happen Before Your Eyes! It's A Fabulous Fantasy For Young And Old!
1999,  : Though I walk through the Valley of the Shadow of Death...I shall fear...
2012,  (VG) Who can you trust when the world goes away?
2012,  (V) I Shoot Film. I Shoot HD. I Shoot DSLR. I Shoot UBCP.
2009,  I only Speak what I see
1984,  The powerful story of one man's quest for the greatest prize of all
2009,  Friends Don't Let Friends Denigrate the Horror Genre
2010,"  It's Date Night Day of the Woman - October 8, 2010"
2012,"  I spy, with my little eye, something slowly breeding."
1939,  The Story Of A Man Who REALLY Stole A Million! FEARED...HATED...HUNTED.......!
2001,  The end of his life was just the beginning.
1966,"  Have you the courage to see the world in the raw? ...Secrets of the forbidden world revealed by the hidden camera See the world in the raw! Execution by python..., Make geisha girls and shocking Oriental massage...Savage African bathing beauties Secrets of the forbidden world revealed by the hidden camera Have you the courage to see the world in the RAW? ...secrets of the forbidden world as revealed by the hidden camera See The World In The Raw! Death-Defying Acrobats, Trained By Cruelty And Torture...Tattooed Virgins/The Forbidden City's Strange Cures Wrought In The Name Of Medicine/School For Beggars, Where Children Are Transformed Into Monsters/Strange Jungle Manhood Rites...Male Geisha Girls And Their Customs Sick or Bizarre? Gruesome or natural? Beautiful or shameful? Exotic or hideous? Bestial or interesting? Touching or disgusting? *Judge For Yourself! See...* Macabro"
1962,  Trapped...Between a New Love And an Old Crime! Love can make a killer out of a woman... and a fool out of any man!
2010,  Have true faith! Love to dance Step to it Dance some mo
1978,  these youngsters are suffering from a highly contagious disease called beatlemania. The symptoms are...screaming hysteria hyperventilation fainting fits seizures and spasmodic convulsions It isn't fatal but it sure is fun.
2006,"  A man wants a hug from a woman, but she is busy, Not a good time for a hug."
2006,  Sometimes love is just a big bowl of wrong.
2007,"  What you expect doesn't matter. If you want to believe, you'd better keep your eyes open. Maybe you encounter things, which you did not expect."
2008,  A 70 year old man practices kung-fu while a group of women in their 80s dance to China's latest pop music...
1970,  All It Takes is a Little Imagination...
1936,  The American Girl ... Victim of Berlin's Political Intrigue! Her Own Story!
1951,  The Saturday Evening Post serial that jolted millions! I know a hundred secrets... and each one is worth my life! Sensation-Upon-Sensation! The whole undercover operation of the most danger-laden assignment in the entire history of the F.B.I.! This was it ..the end of a nine year manhunt-- or the end of a hero! I had to sell out my own girl -- so would you!
2009,  Five Little Words Can Change Your Life Still Love Me? Popularity is nice. Popular girls are not.
2007,  1 husband. 1 wife. 2 thugs. And 3 simple lies.
2007,  What would you do for love?
1958,"  The bride wore terror! Shuddery things from beyond the stars, here to breed with human women!"
1997,  The honeymoon is definitely over! Ultra sexy! Ultra violent! Ultra funny!
1958,  What happens to the MOUSE when the CHEESECAKE bites back? (original poster)
1940,  FROM A FABULOUS BOOK...THE STORY OF A FABULOUS LIFE!
2011,  How to deal progressively with survival problems
1998,  They came to the beach by different paths... Their future is to be determined by Destiny...
2006,  Let loose the word
1964,  A Death-Island Of Strange Rites And Inhuman Tortures! No One Returns From Raimangal... Alive!
1963,  14 Happenings! Wild! Weird! Wonderful!
2007,  A cry for help; an admission of guilt.
2010,  Any Objections?
2007,"  They're as straight as can be, but don't tell anyone. How far would you go for a friend? Chuck has just found the perfect girl. Too bad he's agreed to marry his best friend."
1962,  A searing study of love and life in Italy!!! A film that slices into life and bares it in the raw!
1983,  It's the end of the earth as we know it! Hell On Earth 2019 A.D. Can mankind survive without humanity? Dealers in death... exterminators of the 21st century...
1986,"  This night, love is different."
1982,  Libby Tucker hitchhiked from Brooklyn to take Hollywood by storm. And her father by surprise.
2008,  A love story in black and white.
2010,  Giorgio Morandi Maria Cristina Bandera Fondazione Ferrero
1983,"  A legend of savagery, sorcery and passion forged in a flash of steel. [Australia Theatrical] The Middle Ages . . . A time of magic and mystery . . . of heroes and villains . . . of love and death . . . of hearts and armour [USA Theatrical]"
1984,  The Adventure Of A Lost Generation
1941,  One of the greatest love stories ever told!
1968,  The smile that kills...
1976,  Insipired by a true story
2013,  A tale of unusual magic
2007,"  You might assume that they're just three waitresses,one cook and a dishwasher but they see themselves as an artist ,an actor,a lover,an author and a revolutionary. Five woman One restaurant One Night"
2004,"  Everyone at Zenith Alternative knows Casey has a crush on the popular Harper, but no one is prepared for Harper's startling confession, especially not Casey. A short romantic tragedy about playing it cool in middle school."
2012,  a movie about LOVE and other deadly things in life.
1948,  You'll just love...MAMA!
2012,"  A man wakes and waxes nostalgic, but he is not alone."
2005,  The Story of Red Rountree: The World's Oldest Bank Robber. A (true) tale of geriatric ambition.
1996,  Konsten att spela sig sjaelv...
2010,  There are no feelings in outer space.
2011,  What would you do to get home?
1968,  It's ship-shapely all-girl crew took turns shaping up for the captain's watch
2008,  What if Global Warming was solved...but nobody cared?
2010,  Giraffes India documentary Israel backpacker Gilad Kahana
2010,  The Classic Christmas Song I Saw Mommy comes to life in this modern day holiday fable.
2007,  Did you see the world today?
1965,"  Don't laugh little girl, better run for your life. The man you were talking to, has just murdered his wife! William Castle warns you: This is a motion picture about UXORICIDE! Fate dials the number...terror answers the phone! You May Be the Target... of the Next Phone Call..."
2008,  Is the doctor in or out of her mind?
2009,"  It takes a village to raise a child and one man's example can influence the destiny of an impressionable child for better or worse. I See You is a short educational film about bullying, peer pressure, community responsibility and building bridges to peace keeping."
2012,  Never has planning a lunch meet-up been more fraught with lies.
1953,  THE FANTASTIC BUT TRUE STORY OF THE FROGMEN (original ad for USA release Hell Raiders of the Deep - all caps)
1962,  Seven Heroes! The Valiant Sons of Sparta Seven Spartan Warriors! Seven heroes! They fight as if they were seven hundred!
1951,  An All New Adventure of the Seven Dwarfs and Snow White Seven times more wonderful...more enchanting...more spell-binding than any make-believe you've ever known! Here are those 7 dwarfs with Snow White and Prince Charming in a brand new world of dream-come-true ! A Million Miracles Happen Before Your Eyes! It's A Fabulous Fantasy For Young And Old!
1999,  : Though I walk through the Valley of the Shadow of Death...I shall fear...
2012,  (VG) Who can you trust when the world goes away?
2012,  (V) I Shoot Film. I Shoot HD. I Shoot DSLR. I Shoot UBCP.
2009,  I only Speak what I see
1984,  The powerful story of one man's quest for the greatest prize of all
2009,  Friends Don't Let Friends Denigrate the Horror Genre
2010,"  It's Date Night Day of the Woman - October 8, 2010"
2012,"  I spy, with my little eye, something slowly breeding."
1939,  The Story Of A Man Who REALLY Stole A Million! FEARED...HATED...HUNTED.......!
2001,  The end of his life was just the beginning.
1966,"  Have you the courage to see the world in the raw? ...Secrets of the forbidden world revealed by the hidden camera See the world in the raw! Execution by python..., Make geisha girls and shocking Oriental massage...Savage African bathing beauties Secrets of the forbidden world revealed by the hidden camera Have you the courage to see the world in the RAW? ...secrets of the forbidden world as revealed by the hidden camera See The World In The Raw! Death-Defying Acrobats, Trained By Cruelty And Torture...Tattooed Virgins/The Forbidden City's Strange Cures Wrought In The Name Of Medicine/School For Beggars, Where Children Are Transformed Into Monsters/Strange Jungle Manhood Rites...Male Geisha Girls And Their Customs Sick or Bizarre? Gruesome or natural? Beautiful or shameful? Exotic or hideous? Bestial or interesting? Touching or disgusting? *Judge For Yourself! See...* Macabro"
1962,  Trapped...Between a New Love And an Old Crime! Love can make a killer out of a woman... and a fool out of any man!
2010,  Have true faith! Love to dance Step to it Dance some mo
1978,  these youngsters are suffering from a highly contagious disease called beatlemania. The symptoms are...screaming hysteria hyperventilation fainting fits seizures and spasmodic convulsions It isn't fatal but it sure is fun.
2006,"  A man wants a hug from a woman, but she is busy, Not a good time for a hug."
2006,  Sometimes love is just a big bowl of wrong.
2007,"  What you expect doesn't matter. If you want to believe, you'd better keep your eyes open. Maybe you encounter things, which you did not expect."
2008,  A 70 year old man practices kung-fu while a group of women in their 80s dance to China's latest pop music...
1970,  All It Takes is a Little Imagination...
1936,  The American Girl ... Victim of Berlin's Political Intrigue! Her Own Story!
1951,  The Saturday Evening Post serial that jolted millions! I know a hundred secrets... and each one is worth my life! Sensation-Upon-Sensation! The whole undercover operation of the most danger-laden assignment in the entire history of the F.B.I.! This was it ..the end of a nine year manhunt-- or the end of a hero! I had to sell out my own girl -- so would you!
2005,  remember me... I was a dancer
1967,"  The body of a man... The feelings of a woman! Half-man, half-woman... Which way to go? The dark world of the trans-sexual."
2009,  The devil gets one last chance at redemption in the body of a suicidal writer.
1967,  There's a woman for every taste.
2004,  What will you do with yours? Laws are made to be broken One man saw it coming.
2003,  The first feminist of the Americas
2006,  Back off! Get your own stalker
1953,"  MICKEY SPILLANE'S Kind of Fury, Savagery, Temptation and Man-Woman Violence in 3-D !"
1982,"  He was only a private eye - but he wanted to be the judge and jury as well. [Video] The cops, the mob, the broads, everyone's after Hammer!"
2011,  What would you do to bring your daughter back...from the dead?
2008,  Discover what makes you feel important
2006,  What would you do for your 15 minutes of fame? Reality bytes!
2006,"  As a writer struggles to overcome his writers' block, he discovers that the universe works in strange ways..."
2011,  (TV) The Superbowl of Smarts The Superbowl For The Mind
2013,  When he's got to go... YOU got to go!
2009,  I spy with my little eye something beginning with YOU!
1995,"  When you go undercover, remember one thing: who you are."
2010,  Changing out shell so we can connect with our inner romantic.
2008,  The only thing worse than dying is watching a friend die first.
2005,  Better Days Lie Ahead
2008,  One Nation. Under Stress. In Debt.
1994,  Think Love. With Einstein as Cupid what could possibly go wrong?
2013,  (TV) Who would you buy with 2.3 billion of the CIA's money?
2013,  Beware jealousy
2006,  Anthem
2008,"  If you knew the world was coming to an end, what would you do? Change the ending."
2011,  A day begins. A woman realizes she almost forgot her appointment at the ibijazi
2011,  Why you shouldn't tell women you love them when you really don't.
1927,  Azeri guy Ibrahim and his Georgian best friend take revenge.
2006,"  I think a lot of people fly in their dreams, but they always wake up to the heavy gravity of real life."
2007,  (TV) The Opening Ceremony for Cricket World Cup 2007
1970,  An American fiction film about imminent urban guerrilla warfare in the United States.
2011,  Don't wait until it's too late
2012,"  (VG) Ready to get wet, wild and wooly!"
2006,  Kiss Your Ice Goodbye He Never Thaw It Coming (UK) The meltdown The Ice age is coming to an end The Ice age is melting away Chill out with some friends! The Pack Is Back. The Chill Is Gone Kiss Your Nuts Goodbye (UK)
2008,  Your favorite gay private investigator is back.
1978,"  The story of a girl who refused to forget she was once a champion. A Genuine Miracle! When Tragedy Struck, Love Came to the Rescue."
2004,  (V) Desperate For Love... Destined To Kill.
2009,  The search for ice cream sometimes leaves you sweating in a bear suit.
2006,  A film noir nightmare.
1995,"  I scream, you scream, we all scream for the..."
2011,  When the reality of fantasy melts in your soul.
2002,  A world where the ice cream is cold and the people are warm.
2009,  This is the true face of evil
2009,  Drugs. Sex. Gambling. All in a day's work.
2006,"  In a state where hockey is as important as football in Texas, one team has stood out above the rest..."
1989,  A Dream Come True... Turned Into the Nightmare of His Life. Alex Dalton is a pawn in a game of greed... and he's skating on thin ice.
2005,"  From Scholastic...To Fantastic! Big things happen to those who dream big. From small town Mathlete, To big time Athlete"
1997,"  (V) I Scream, You Scream, We All Scream for ICE CREAM..."
1968,  It's a race for the secret ... or TOTAL DESTRUCTION Ice Station Zebra ... Remember The Name -- Your Life May Depend On It! An American nuclear sub.. a sky full of Russian paratroopers--and a race for the secret of Ice Station Zebra!
2003,  (TV) North America vs. The World
1941,"  IT'S DAZZLING! a thousand laughs...and thrills...as Hollywood's Gay Blades take to skates to sleigh the Blues! Set Against A Dazzling Hollywood Background...Ready To Thrill You In A Gorgeous Spectacle Of Rhythm, Romance And Comedy! A Merry Meless Of Hot Mamas And Mad-Hatters! Let the show entICE you...you'll say How nICE! A STAR-STUDDED CAVALCADE OF THE WORLD'S GAYEST BLADES1 Presenting a thousand and one spectacular thrills against an enchanting background of dazzling beauty and gay romance!"
2009,  You think war is hell? Try dating.
2012,  A journey on board a large vessel crossing the frozen Baltic Sea.
1995,  The story of North Africans from Mauretania taken on long ships in 861AD to the British Isles and Ireland.
1984,"  HE'S 40,000 YEARS OLD. Deep within an Arctic glacier they found him, preserved by a miracle of nature, brought back to life by a miracle of science. Now medical science wants to exploit him in the name of research. One man wants to stop them...in the name of humanity. But he'll need more than a miracle to survive...he'll need a friend. An amazing unforgettable journey of humanity"
2010,  All good things must come to an end.
2012,  That Bitch deserves to die!
2000,  For Oliver Sacks and Photoshop
2003,  Der neue Film von Jochen Hick: Schwules Leben in der Provinz... (The new film from Jochen Hick: Gay life on the country-side...)
2003,"  (V) It sounds like one thing, but means something completely different!"
1970,  Infidelity - A new kind of ball game.
1988,  The Ultimate Buddy Picture - It hits below the belt!! A comedy about men and women and what stands between them.
2009,  Senior citizens who commit suicide
2007,  Love fractures.
2008,  Faith Lies in the Imagination
2008,  (V) Just a girl with a dream
2010,  WHY is the world's most dangerous artist living in a bunker?
2012,  The Wheel upon which we must All be Broken.
2006,  (TV) He gave birth to a new Russia...but the price was his own son.
2009,"  In the near future, a man distraught by the near impossibility of his wife waking from a life-threatening coma is given a second chance at love with a perfect android carbon copy of her. but is it really love, or something else?"
2010,  Four friends are forced to spend their last days alive underground in a fallout shelter safe from the anarchy and destruction that has become every day existence
2013,  The first documentary film about racial profiling in Europe Institutionalized racism in Germany 150 cases of racial brutality by Berlin Police in the last 10 years
2009,  (VG) iD3: The Adventure Begins
2004,"  (V) A murder mystery set in 1934, IDEAL is the story that exposes the obsessive mystique of celebrity and the heroic nature of those who have a passionate conviction for the beauty of life.# Ideal Companion (2012) (V)	A Frankensteinian love story# Ideally (2011)	An ex-cop struggles to find redemption after losing everything important in his life.# Ideas (2004)	Three students brainstorm on ideas for their film# Ideas of Reference (2006)	Not all things irrational are meaningless# Ideation (2008)	An ancient allegory, ever increasingly more apropos to our times.# Identical (2006)	What if you meet someone who you have some things in common with? What if after you meet that person you find out that you could be your soul mates? But what if you meet on the wrong day?# Identical (2012)	Murder love	Identical twins	A love story	A dangerous love triangle	based on the novel  Memoirs of a Murder"""
2009,  All the pimp's whores and all the pimp's men... are gonna put you and your dead whore sister back together again!
1974,  Was she really mad enough to plot her own murder?
2011,  Who are you?
2003,  The secret lies within. Identity is a secret. Identity is a mystery. Identity is a killer.
2005,  Could you leave your life behind?
2010,"  To solve your own murder, you might need some help from Above."
2008,  Who do you think you are?
2009,  What if Immortality came with a price...and someone else had to pay it
2013,  Is this the face of a thief? Is this the face of a sucker? She's having the time of his life
2008,  From Sardinia to Argentina: the mystery of the illegitimate president exposed
2008,  Sometimes i don't know who i am.
2000,  He was The Organization's Deadliest Assassin. Now he is their... Ultimate Target!
2006,"  The Future Is A No Brainer In the future, intelligence is extinct."
2003,  Prepare to Stop
2004,"  (TV) After the stage, there is idool backstage"
2010,  From Dawn to Dusk...Help is NOT Coming.
1978,  The Most Romantic Love Story of the Year. Call someone you loved and lost a long time ago and ask them to see a movie. Maybe it's not too late. The love he had been searching for was the love he left behind.
2009,  A family feud of Biblical proportions
2008,  To live in die in corporate America. To live in die in corporate America. A timely and yet true native American tragedy.
2009,  you and I know what the world can do
2012,  Time always tells the essence of a person
1938,  His Love-Making was as Dangerous as His Sword-Play
2008,  The truth lies beneath what's real and what's not.
1969,"  Europe sent us Dutch Elm Disease, German Measles and Russian Roulette. We sent them World-Wind Vacation tour #225. Now we're even. The Vaccinated Americans. How to spot them. She got around most of Europe . . . and most of Europe got around her too! I'm Europe, Baby. I sent you Dutch Elm Disease, German Measles, and Russian Roulette. You sent me World Wind Vacation Tour #225. Now we're even."
2008,  (TV) You can stop Evil Bag Island!
1996,  (TV) He could charm you to do just about anything. Lie. Cheat. Even kill.
1996,  A comedy for the romantically challenged.
2011,  (V) What if your reality was a lie?
1995,  (TV) She tried to be a good wife and mother. She tried to keep the abuse a secret. But one day he went too far...and so did she.
1996,"  (TV) There's one question only a woman can answer Changing times, intimate decisions, and the four walls that hold their secrets."
1999,  (TV) Susan Stone is about to discover the miracle of childhood ... her own.
2011,  Then you would love me
1935,  SHE GAVE UP HER PARK BENCH FOR HIM! HE GAVE UP MILLIONS FOR HER! (original print ad - all caps)
2008,"  An unflinching romance,"
1982,  The true story of a born winner!
1968,  Which side will you be on?
2013,  Slavery ended 150 years ago; except for 1 person.
1972,"  Former leaders of the Youth Organization as grown ups, but their thinking, amusements and values have not changed ever since their childhood."
1982,  The True Professionals of Death!
2002,  Insanity is relative
2008,  See how one little pig tries to make it safely through the horrors of Gradschool!
2008,"  Based on footage originally shot in 1968, this is a portrait of Syd Barrett's girlfriend Iggy, referred to ubiquitously and affectionately by those who knew her in the late 1960's as Iggy The Eskimo Girl ."
2002,  He thought he was protecting her life. Instead he was saving America.
2009,  (TV) The hidden becomes revealed...nothing stays the same.
2009,  (TV) Can Skateboarding be considered an Art? Is it really illegal? The answers will surprise you.
2009,  A Comic Foray Into the Creative Funkhole
2007,  Always protect the family.
2010,"  Can one be bound, yet free?"
1989,  (V) The Only Kind to Have!
2004,  The only person who could change the story of his life...was the father he never knew.
2004,  (V) The story of a lost angel.
2007,  Don't trust anyone
2010,  Life? Don't make me laugh
2012,  She found him. Fear took him. Love is. Always here. The mind is a dangerous place in love.
1975,  Love...the grandest illusion of them all.
2004,"  In a world where nothing seems like it appears, a young man is force to confront the death of his friend which he witnessed."
2008,"  After catching his sister Tessa's flu, Michael's true feelings towards his bullying sister give him feverish nightmares."
1994,  En ond thriller av Lars Mullback
2008,  A wonderful journey in the lands of appearances
1975,  The most dreaded Nazi of them all! Even the SS feared her! A different kind of X.
1956,"  Eye-Filling Spectacle! Man Against Monsters! A cast of 106,000! 11,000 horses!"
2000,"  Im Ernst, im Spaï¬‚, im Juli. Im Herz, im Bauch, im Juli. Im August, im Kino, im Juli."
1973,  (TV) Altendrama [German] [English Translation: Drama about ageing]
1968,"  A haunted Gothic tale of madness, lust and blood-chilling horror!"
2004,"  Money,a good job and a beautiful girlfriend.He thought he had it all..or maybe not? Good job, money and a beautiful woman.He had everything that any man would ever want.Or maybe not?.."
2008,  Even the worst of us deserves a mother.
1972,  A motion picture of the extra senses.
1994,  When a father doesn't live up to his dreams... a daughter has to stand up for hers.
2006,  The only thing worse than your first love not knowing you exist is not existing at all.
2009,  Dad takes on Charlie's imaginary friend Rudy - but he didn't count on Rudy's mom.
2006,  The Office meets Metropolis in a silent film with a twist.
2002,  Do you know what is real?
2007,  Twin girls overcome physical limitations to learn the secrets of heaven and nature. Visions Are Real.
2010,  Life is a Process of Creations
2005,  A little boy with a BIG imagination.
2013,  What if we could change the water structure in our bodies?
2010,  Dayton Hyde South Dakota Wild Mustangs
2003,"  When John met Yoko, Zen met Rock'n'Roll"
2005,"  Imagine me winning Best Actor, Director, and Screenplay."
2003,  New York celebrities speak out about rebuilding New York in the wake of September 11th. On September11th New Yorkers pulled together like no one imagined we could.
1996,  (V) Have Fun Using Your Imagination!
1983,  (VG) Space: The limitless unknown dimension awaiting the advent of mankind!
2006,"  Rock-a-bye-bye-baby, Mommy please stop it, I am ill."
2010,"  Three People, Three lives, Just One Day"
2009,  Fear has no face
2010,  Sometimes even the truth can't set you free.
2008,  Life. Camera. Action.
1934,  Brought Back to thrill you again! Fannie Hurst's stirring drama of a mother and a daughter in love with the same man. (re-release) Claudette Colbert at her finest in Imitation of Life (re-release)
1989,  The toughest choices are made with the heart.
2009,  What would school be like if nobody spoke your language?
2011,  It's Time To Get Back In Touch With Your Roots. It's Time To Get Back In Touch With Your Roots...
2010,  It takes 4 to tango.
2001,  (V) Love Is Forever.
2004,"  To all those coping with Cancer, stay strong."
